Punt_nr,b1,b2,b3,b4,b5,b7,So_depth,,
1920,9542,11003,11527,14972,17323,14090,900,,
1921,9542,10726,11414,14710,17505,13572,900,,
1922,9879,11417,12429,15759,19047,16290,900,,
1923,9879,11279,12542,15366,18685,15772,900,,
1924,9474,10726,11414,14185,17868,14349,900,,
1925,9542,10726,11414,14447,17687,13701,800,,
1926,9542,10726,11414,14841,17777,14090,800,,
1927,9751,10868,12205,14579,17777,13701,700,,
1928,9616,10867,11754,14579,17777,13442,600,,
1929,9547,10729,11528,15104,17323,13442,400,,
1930,9614,10867,11641,14053,17868,14219,500,,
1931,9411,10590,11528,13791,17687,13831,900,,
1932,9681,10728,11641,14710,17958,14090,800,,
1933,9545,10728,11528,14579,17687,13960,900,,
1934,9477,10589,11527,14710,17595,13831,900,,
1935,9814,10865,11753,15760,18503,14737,900,,
1936,9746,11003,12091,15891,19047,15643,900,,
1937,9475,10588,11527,15366,17958,13960,900,,
1938,9474,10865,11753,15104,18503,14996,900,,
1939,9609,11003,11753,15629,18322,14607,900,,
1940,9677,10726,11753,15497,18322,14607,900,,
1941,9609,11003,11865,15759,18412,15255,800,,
1942,9474,10864,11753,15234,17595,14349,900,,
1943,9542,10726,11640,15366,18230,15255,900,,
1944,9609,10864,11978,15366,18593,15514,900,,
1945,9542,11003,11978,15366,18140,14996,900,,
1946,9542,10588,11075,14185,17958,14219,900,,
1947,9609,10864,11527,14579,18049,14349,800,,
1948,9609,10588,11188,14447,17595,13960,800,,
1949,9677,10864,11414,14710,18140,14349,900,,
1950,9609,10864,11640,15234,18593,14996,900,,
1951,9812,11417,12654,16677,19682,16679,900,,
1952,10082,11555,12654,16416,19591,16549,900,,
1953,9947,11279,12316,16284,19410,15643,800,,
1954,9885,10867,11867,14447,18140,14090,800,,
1955,9885,11005,12205,14711,17958,13831,900,,
1956,9681,10866,11754,15235,17777,13831,900,,
1957,9613,10866,11753,15629,17958,13831,900,,
1958,9410,10450,11189,14054,15782,12667,900,,
1959,9548,10867,11754,14711,17958,13701,900,,
1960,9749,10728,11528,14841,17595,13831,900,,
1961,9546,10728,11415,14973,17595,13572,900,,
1962,9545,10728,11415,14579,17595,14090,800,,
1963,9679,10866,11753,15104,18140,13960,800,,
1964,9680,10866,11754,14842,17778,13832,900,,
1965,9747,11004,11979,15499,18141,14220,900,,
1966,9614,10728,11528,14185,18140,13960,700,,
1967,9613,10728,11753,14841,18049,13831,600,,
1968,9545,10727,11528,14710,17323,13442,900,,
1969,9476,10727,11414,14053,16960,13184,900,,
1970,9477,10450,11075,14054,17053,13185,900,,
1971,9543,10726,11415,14842,18504,14997,900,,
1972,9746,11142,12092,15236,18051,14220,900,,
1973,9813,11280,12205,15892,18414,14868,900,,
1974,9681,10728,11528,14710,17505,13701,800,,
1975,9477,10589,11415,14841,17323,13701,900,,
1976,9476,10727,11302,14972,17232,13701,900,,
1977,9543,10727,11301,14315,17414,13960,900,,
1978,9475,10588,11753,14579,18049,14737,800,,
1979,9679,10588,11641,15105,18141,14608,900,,
1980,9610,10866,11641,15236,18051,14350,800,,
1981,9475,10726,11415,14316,17597,13961,800,,
1982,9543,10588,11415,14186,16961,13185,800,,
1983,9475,10588,11301,14054,17143,13443,900,,
1984,9543,10726,11415,14316,17143,14220,900,,
1985,9813,11280,12430,15892,19502,15903,800,,
1986,9610,11142,12430,15630,19139,15515,900,,
1987,9543,10726,11641,15105,17688,14090,900,,
1988,9543,10726,11528,15498,17688,13572,900,,
1989,9475,10726,11415,15236,17597,13703,800,,
1990,9947,11832,12881,17204,19956,16550,900,,
1991,9474,10726,11640,14841,17868,14349,700,,
1992,9406,10449,11188,14185,17323,13572,600,,
1993,9474,10588,11414,14315,17232,13572,800,,
1994,9678,11004,11641,14842,17869,13703,900,,
1995,9475,10588,11301,14448,17325,13572,900,,
1996,9475,10588,11301,15105,17778,14090,900,,
1997,9543,10866,11528,15105,17778,14220,900,,
1998,9678,10726,11415,15105,17778,14220,900,,
1999,9543,10726,11415,15236,18051,14350,900,,
2000,9610,10866,11641,15236,18051,14350,900,,
2001,9746,11419,12543,16023,19230,15773,900,,
2002,9475,10588,11188,11949,10971,9170,900,,
2003,9542,11279,12316,16022,18865,15902,600,,
2004,9609,10864,11753,15497,17958,14349,700,,
2005,9542,10726,11753,15104,18049,14349,400,,
2006,9543,10866,11866,15105,18596,14868,800,,
2007,9475,10866,11866,16023,18686,14997,800,,
2008,9475,11004,11754,16023,18414,14738,900,,
2009,9543,10726,11641,15630,18141,14479,900,,
2010,9475,10726,11528,14711,17416,13832,900,,
2011,9813,10866,11979,16023,19049,15256,900,,
2012,9543,11004,11979,15892,18867,14868,900,,
2013,9678,10866,11641,15105,18141,14608,900,,
2014,9610,10866,11866,15236,18504,14738,900,,
2015,9678,10866,11641,14973,18141,14220,900,,
2016,9678,10726,11641,14842,18414,14608,900,,
2017,9408,10866,11415,14054,15328,13185,<700,,
2018,9813,11142,11979,12870,12786,10724,900,,
2019,9678,11280,11979,17334,18414,14350,900,,
2020,9746,11142,12092,15760,18777,14738,900,,
2021,9610,11004,11866,15760,18596,14997,700,,
2022,9610,10588,11415,15498,18051,14220,800,,
2023,9543,10726,11528,15236,17960,13961,900,,
2024,9678,10726,11528,15367,18051,14090,900,,
2025,9678,10866,11528,15105,17869,14220,900,,
2026,9678,10726,11301,14973,17778,13961,800,,
2027,9475,10726,11528,15236,18141,14350,400,,
2028,9678,10866,11528,15367,18051,14479,800,,
2029,9543,10726,11528,15105,18051,14220,900,,
2030,9543,10866,11641,14842,18051,14608,900,,
2031,9610,10866,11641,14842,18232,14868,900,,
2032,9879,11142,12317,15367,19139,15644,900,,
